monster_id,lr_item_id,hr_item_id,hr100_item_id,gr_item_id
6,2703,2704,2705,2705
52,2706,2707,2708,2708
75,2709,2710,2711,2711
15,2712,2713,2714,2714
11,2715,2716,2717,2717
1,2718,2719,2720,2720
14,2721,2722,2723,2723
51,2724,2725,2726,2726
22,3510,3511,3512,3512
65,3516,3517,3518,3518
21,3519,3520,3521,3521
48,3522,3523,3524,3524
76,3526,3526,3527,3527
74,3528,3529,3530,3530
89,3532,3532,3533,3533
81,3535,3535,5734,5734
20,3513,3514,3515,3515
33,3712,3713,3714,3714
59,3715,3716,3717,3717
40,3718,3718,3719,3719
80,3720,3720,3721,3721
94,3722,3723,3724,3724
67,3725,3726,3727,3727
53,3728,3728,3729,3729
27,3731,3732,3733,3733
26,3734,3734,3734,3734
49,3735,3736,5735,5735
54,4320,4321,4322,4322
37,4327,4328,5736,5736
45,4329,4330,6155,4330
78,4331,4332,5737,5737
91,4323,4323,4324,4324
92,4325,4325,4326,4326
38,4932,4933,6154,4933
68,4927,4928,4929,4929
77,4930,4930,4931,4931
95,4921,4921,4922,4922
43,4935,4936,6156,4936
17,4924,4925,4926,4926
60,5730,5731,5732,5732
96,5727,5728,5729,5729
85,6152,6152,6153,6153
101,6149,6150,6151,6151
