item_index,rarity_raw,rarity_plus_one,maxStack,icon,iconColor,bottle,buyPrice,sellPrice,type,decoID,equipType,isGz,name_ptr,name,description_ptr,description
0,0,1,1,0,0,0,0,0,0,1,0,0,0x000C714F,－－－－－－,0x000DF952,dummy
1,3,4,1,36,10,0,1000,100,6,0,0,0,0x008C09F4,Book of Combos 1,0x008D897F,An introduction for first-\ntime combiners. Improves\ncombination success rate.
2,3,4,1,36,10,0,2000,200,6,0,0,0,0x008C0A05,Book of Combos 2,0x008D89CD,An entry-level text. Owning\nBook 1 and this boosts your\ncombination success rate.
3,3,4,1,36,0,0,5000,500,6,0,0,0,0x008C0A16,Book of Combos 3,0x008D8A1F,"An intermediate text. Owning\nBooks 1, 2, and this boosts\nyour combo success rate."
4,4,5,1,36,0,0,10000,1000,6,0,0,0,0x008C0A27,Book of Combos 4,0x008D8A71,An advanced text. Owning\nBooks 1-3 and this improves\nyour combo success rate.
5,4,5,1,36,4,0,15000,1500,6,0,0,0,0x008C0A38,Book of Combos 5,0x008D8ABF,A pro-level text. Owning\nBooks 1-4 and this improves\nyour combo success rate.
6,4,5,1,36,4,0,20000,2000,6,0,0,0,0x008C0A49,Book of Alchemy,0x008D8B0D,"With this book, you too can\nperform alchemy! What will\nyou discover?"
7,0,1,10,24,2,0,66,7,4,0,0,0,0x008C0A59,Potion,0x008D8B52,Restores a small amount of\nhealth.
8,1,2,10,24,2,0,165,16,4,0,0,0,0x008C0A60,Mega Potion,0x008D8B75,Restores a moderate amount\nof health.
9,1,2,5,24,6,0,760,15,4,0,0,0,0x008C0A6C,Nutrients,0x008D8B9B,Very slightly increases\nyour maximum health level.
10,2,3,5,24,6,0,920,60,4,0,0,0,0x008C0A76,Mega Nutrients,0x008D8BCE,Slightly increases your\nmaximum health level.
11,0,1,10,24,3,0,60,6,4,0,0,0,0x008C0A85,Antidote,0x008D8BFC,Removes all traces of poison\nfrom your body.
12,2,3,10,24,4,0,923,92,4,0,0,0,0x008C0A8E,Immunizer,0x008D8C29,Boosts your natural ability\nto heal.
13,1,2,5,24,4,0,293,29,4,0,0,0,0x008C0A98,Dash Juice,0x008D8C4E,Lets you run without tiring\nfor a short period of time.
14,2,3,5,24,4,0,1028,205,4,0,0,0,0x008C0AA3,Mega Dash Juice,0x008D8C86,Lets you run without tiring\nfor even longer than regular\nDash Juice.
15,3,4,5,24,1,0,668,67,4,0,0,0,0x008C0AB3,Demondrug,0x008D8CCB,Boosts your attack by \nfilling you with -guess\nwhat?- demonic strength.
16,4,5,5,24,1,0,2831,283,4,0,0,0,0x008C0ABD,Mega Demondrug,0x008D8D13,Boosts your attack even\nmore than regular Demondrug.
17,0,1,5,35,1,0,2831,280,4,0,0,0,0x008C0ACC,Might Pill,0x008D8D48,Temporarily endows you with\nthe strength of a mighty\ngod. Potent!
18,3,4,5,24,7,0,578,58,4,0,0,0,0x008C0AD7,Armorskin,0x008D8D8A,Boosts defense by turning\nyour skin as hard as rock.
19,4,5,5,24,7,0,2696,269,4,0,0,0,0x008C0AE1,Mega Armorskin,0x008D8DBF,Boosts your defense even \nmore than regular \nArmourskin.
20,0,1,5,35,7,0,2696,260,4,0,0,0,0x008C0AF0,Adamant Pill,0x008D8DF8,Temporarily makes your skin\nas hard as adamant. Potent!
21,0,1,5,24,0,0,300,30,4,0,0,0,0x008C0AFD,Cool Drink,0x008D8E30,Provides temporary relief\nfrom extreme heat.
22,0,1,5,24,1,0,250,25,4,0,0,0,0x008C0B08,Hot Drink,0x008D8E5D,Provides temporary relief\nfrom extreme cold.
23,2,3,3,24,7,0,300,30,4,0,0,0,0x008C0B12,Psychoserum,0x008D8E8A,"Temporarily sharpens your \nsixth-sense, and attunes\nyou to the ways of monsters."
24,3,4,99,24,6,0,5000,500,1,0,0,0,0x008C0B1E,Monster Fluid,0x008D8EDB,A liquid bugs suck from\nmonsters. Mixes with gastric\njuices to form adhesive.
25,4,5,99,24,3,0,10000,1000,1,0,0,0,0x008C0B2C,Monster Broth,0x008D8F29,A broth made of only the\nthickest of monster juices.\nVery rich.
26,1,2,10,35,0,0,250,25,4,0,0,0,0x008C0B3A,Herbal Medicine,0x008D8F69,Removes all traces of \npoison and restores a small\namount of health.
27,2,3,2,35,4,0,2138,180,4,0,0,0,0x008C0B4A,Max Potion,0x008D8FAE,Fully restores health and\nmaximizes the size of \nyour health gauge.
28,4,5,1,35,1,0,3454,345,4,0,0,0,0x008C0B55,Ancient Potion,0x008D8FF2,Fully restores health and\nmaximizes the size of your \nhealth and stamina gauge.
29,1,2,5,35,10,0,480,48,4,0,0,0,0x008C0B64,Catalyst,0x008D9042,"Enhances the effects of\nother materials, but cannot\nbe used on its own."
30,1,2,10,24,4,0,60,6,4,0,0,0,0x008C0B6D,Energy Drink,0x008D908A,A Guild-approved beverage\nthat boosts Stamina. Helps\nshake off Sleep too!
31,4,5,10,24,4,0,0,0,0,0,0,0,0x000C72C6,（ダミー）,0x000DFFD5,ダミー。
32,1,2,20,35,1,0,222,22,5,0,0,0,0x008C0B7A,Gunpowder,0x008D90D4,A volatile substance that\nexplodes when struck or\nheated.
